;solvent_names;solvent_class;base_names;base_class;temperature;ligand;Pd source;yield;article;reaction_smiles;boronate;bromide;condition_string
38;N,N-dimethyl-formamide,,water;polar;potassium phosphate;phosphate;80;PPh3;Pd[P(Ph)3]4;69.0;"Article; Delaunay, Thierry; Genix, Pierre; Es-Sayed, Mazen; Vors, Jean-Pierre; Monteiro, Nuno; Balme, Genevieve; Organic Letters; vol. 12; 15; (2010); p. 3328 - 3331;";COC1=CC=C(C=C1)N1N=C(Br)C=C1I.OB(O)C1=CC=NC=C1>>COC1=CC=C(C=C1)N1N=C(Br)C=C1C1=CC=NC=C1;OB(O)C1=CC=NC=C1;COC1=CC=C(C=C1)N1N=C(Br)C=C1I;DMF:water,,K3PO4,,PPh3
54;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;100;PPh3;Pd[P(Ph)3]4;3.0;"Article; Ramachandran, Sreekanth A.; Jadhavar, Pradeep S.; Singh, Manvendra P.; Sharma, Ankesh; Bagle, Gaurav N.; Quinn, Kevin P.; Wong, Po-yin; Protter, Andrew A.; Rai, Roopa; Pham, Son M.; Lindquist, Jeffrey N.; Bioorganic and Medicinal Chemistry Letters; vol. 27; 4; (2017); p. 750 - 754;";OB(O)C1=CN=C2NC=CC2=C1.NC1=NC2=C(CC(CC2)N2N=C(I)C3=C2N=CN=C3N)S1>>NC1=NC2=C(CC(CC2)N2N=C(C3=C2N=CN=C3N)C2=CC3=C(NC=C3)N=C2)S1;OB(O)C1=CN=C2NC=CC2=C1;NC1=NC2=C(CC(CC2)N2N=C(I)C3=C2N=CN=C3N)S1;DMF:water,,Na2CO3,,PPh3
57;1,4-dioxane,,water;waterEther;potassium phosphate;phosphate;100;dppf;Pd(dppf)Cl2;3.0;"Article; Ho, Soo Yei; Wang, Weiling; Ng, Fui Mee; Wong, Yun Xuan; Poh, Zhi Ying; Tan, Sum Wai Eldwin; Ang, Shi Hua; Liew, Si Si; Joyner Wong, Yin Sze; Tan, Yvonne; Poulsen, Anders; Pendharkar, Vishal; Sangthongpitag, Kanda; Manchester, John; Basarab, Gregory; Hill, Jeffrey; Keller, Thomas H.; Cherian, Joseph; European Journal of Medicinal Chemistry; vol. 157; (2018); p. 610 - 621;";CCNC(=O)NC1=CC(C2=NC(=CS2)C(F)(F)F)=C(C=N1)B(O)O.CN1CC2CC(C1)N2C1=C(Br)C=C2N=CC=CC2=N1>>CCNC(=O)NC1=NC=C(C(=C1)C1=NC(=CS1)C(F)(F)F)C1=CC2=NC=CC=C2N=C1N1C2CC1CN(C)C2;CCNC(=O)NC1=CC(C2=NC(=CS2)C(F)(F)F)=C(C=N1)B(O)O;CN1CC2CC(C1)N2C1=C(Br)C=C2N=CC=CC2=N1;1,4-dioxane:water,,K3PO4,,dppf
89;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;125;PPh3;Pd[P(Ph)3]4;82.0;"Article; Pettus, Liping H.; Xu, Shimin; Cao, Guo-Qiang; Chakrabarti, Partha P.; Rzasa, Robert M.; Sham, Kelvin; Wurz, Ryan P.; Zhang, Dawei; Middleton, Scott; Henkle, Bradley; Plant, Matthew H.; Saris, Christiaan J. M.; Sherman, Lisa; Lu, Min Wong; Powers, David A.; Tudor, Yanyan; Yu, Violeta; Lee, Matthew R.; Syed, Rashid; Hsieh, Faye; Tasker, Andrew S.; Journal of Medicinal Chemistry; vol. 51; 20; (2008); p. 6280 - 6292;";CC1=C(I)C2=C(C=C1)C(NC1CC1)=NO2.CC1=C(C=CC=C1)C1=C2C=CC(=CC2=CN=N1)B(O)O>>CC1=CC=CC=C1C1=C2C=CC(=CC2=CN=N1)C1=C2ON=C(NC3CC3)C2=CC=C1C;CC1=C(C=CC=C1)C1=C2C=CC(=CC2=CN=N1)B(O)O;CC1=C(I)C2=C(C=C1)C(NC1CC1)=NO2;1,4-dioxane:water,,Na2CO3,,PPh3
99;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;140;PPh3;Pd[P(Ph)3]4;91.0;"Article; Srour, Hassan; Doan, Thu-Hong; Silva, Elisabeth Da; Whitby, Richard J.; Witulski, Bernhard; Journal of Materials Chemistry C; vol. 4; 26; (2016); p. 6270 - 6279;";OB(O)C1=CC=CS1.CCCCCCN1C2=C(C=C(C(Br)=C2)N(=O)=O)C2=C1C=C(Br)C(=C2)N(=O)=O>>CCCCCCN1C2=C(C=C(C(=C2)C2=CC=CS2)N(=O)=O)C2=C1C=C(C1=CC=CS1)C(=C2)N(=O)=O;OB(O)C1=CC=CS1;CCCCCCn1c2cc(Br)c([N+](=O)[O-])cc2c2cc([N+](=O)[O-])c(-c3cccs3)cc21;DMF:water,,Na2CO3,,PPh3
100;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;140;PPh3;Pd[P(Ph)3]4;88.0;"Article; Srour, Hassan; Doan, Thu-Hong; Silva, Elisabeth Da; Whitby, Richard J.; Witulski, Bernhard; Journal of Materials Chemistry C; vol. 4; 26; (2016); p. 6270 - 6279;";OB(O)C1=CC2=C(O1)C=CC=C2.CCCCCCN1C2=C(C=C(C(Br)=C2)N(=O)=O)C2=C1C=C(Br)C(=C2)N(=O)=O>>CCCCCCN1C2=CC(C3=CC4=C(O3)C=CC=C4)=C(C=C2C2=CC(=C(C=C12)C1=CC2=C(O1)C=CC=C2)N(=O)=O)N(=O)=O;OB(O)C1=CC2=C(O1)C=CC=C2;CCCCCCn1c2cc(Br)c([N+](=O)[O-])cc2c2cc([N+](=O)[O-])c(-c3cc4ccccc4o3)cc21;DMF:water,,Na2CO3,,PPh3
135;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;86.0;"Article; Voisin-Chiret, Anne Sophie; Muraglia, Marilena; Burzicki, Gregory; Perato, Serge; Corbo, Filomena; Sopkova-De Oliveira Santos, Jana; Franchini, Carlo; Rault, Sylvain; Tetrahedron; vol. 66; 40; (2010); p. 8000 - 8005;";OB(O)C1=CN=C(Br)C=C1.CC1=C(I)N=CC(Br)=C1>>CC1=CC(Br)=CN=C1C1=CN=C(Br)C=C1;OB(O)C1=CN=C(Br)C=C1;CC1=C(I)N=CC(Br)=C1;1,4-dioxane:water,,Na2CO3,,PPh3
139;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;95;PPh3;palladium diacetate;83.0;"Article; Evariste, Sloane; Sandroni, Martina; Rees, Thomas W.; Roldan-Carmona, Cristina; Gil-Escrig, Lidon; Bolink, Henk J.; Baranoff, Etienne; Zysman-Colman, Eli; Journal of Materials Chemistry C; vol. 2; 29; (2014); p. 5793 - 5804;";CC1=CN=C(Br)C=C1.CC1=NC=C(C=C1)B(O)O>>CC1=CN=C(C=C1)C1=CC=C(C)N=C1;CC1=NC=C(C=C1)B(O)O;CC1=CN=C(Br)C=C1;1,4-dioxane:water,,Na2CO3,,PPh3
186;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;20;PPh3;Pd[P(Ph)3]2Cl2;93.0;"Article; Clapham, Kate M.; Batsanov, Andrei S.; Bryce, Martin R.; Tarbit, Brian; Organic and Biomolecular Chemistry; vol. 7; 10; (2009); p. 2155 - 2161;";OB(O)C1=CC=C(N=C1)C(F)(F)F.BrC1=CC=CS1>>FC(F)(F)C1=CC=C(C=N1)C1=CC=CS1;OB(O)C1=CC=C(N=C1)C(F)(F)F;BrC1=CC=CS1;1,4-dioxane:water,,Na2CO3,,PPh3
187;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;20;PPh3;Pd[P(Ph)3]2Cl2;94.0;"Article; Clapham, Kate M.; Batsanov, Andrei S.; Bryce, Martin R.; Tarbit, Brian; Organic and Biomolecular Chemistry; vol. 7; 10; (2009); p. 2155 - 2161;";OB(O)C1=CC=C(N=C1)C(F)(F)F.BrC1=CC2=CC=CC=C2N=C1>>FC(F)(F)C1=CC=C(C=N1)C1=CN=C2C=CC=CC2=C1;OB(O)C1=CC=C(N=C1)C(F)(F)F;BrC1=CC2=CC=CC=C2N=C1;1,4-dioxane:water,,Na2CO3,,PPh3
